"","ORA.PA.Open","ORA.PA.High","ORA.PA.Low","ORA.PA.Close","ORA.PA.Volume","ORA.PA.Adjusted"
"2022-01-17",9.98,10.02,9.929,9.941,5586383,9.941
"2022-01-18",9.767,9.982,9.61,9.975,8540749,9.975
"2022-01-19",9.945,9.99,9.893,9.954,6625582,9.954
"2022-01-20",9.955,10.01,9.894,9.916,6770747,9.916
"2022-01-21",9.866,9.926,9.8,9.897,11642546,9.897
"2022-01-24",9.91,10.152,9.91,9.986,16216100,9.986
"2022-01-25",10.014,10.256,9.99,10.14,13442790,10.14
"2022-01-26",10.194,10.248,10.112,10.154,7819336,10.154
"2022-01-27",10.114,10.5,10.112,10.326,13712527,10.326
"2022-01-28",10.338,10.472,10.312,10.472,12077212,10.472
"2022-01-31",10.5,10.54,10.328,10.42,9749338,10.42
"2022-02-01",10.432,10.434,10.208,10.276,11307057,10.276
"2022-02-02",10.31,10.408,10.27,10.382,9772883,10.382
"2022-02-03",10.42,10.518,10.362,10.462,9814519,10.462
"2022-02-04",10.51,10.534,10.414,10.486,6455899,10.486
"2022-02-07",10.486,10.58,10.396,10.554,7001204,10.554
"2022-02-08",10.652,10.872,10.652,10.758,15297589,10.758
"2022-02-09",10.766,10.916,10.676,10.816,10293385,10.816
"2022-02-10",10.81,10.938,10.8,10.852,7812457,10.852
"2022-02-11",10.872,10.924,10.772,10.92,7390584,10.92
"2022-02-14",10.804,10.882,10.608,10.882,12535825,10.882
"2022-02-15",10.892,10.948,10.834,10.888,9022188,10.888
"2022-02-16",10.908,10.954,10.83,10.874,6409029,10.874
"2022-02-17",10.9,11.124,10.798,10.934,12054189,10.934
"2022-02-18",10.994,11.16,10.922,11.012,8655052,11.012
"2022-02-21",11,11.07,10.906,10.946,8461833,10.946
"2022-02-22",10.818,10.986,10.738,10.986,9200448,10.986
"2022-02-23",10.974,11.114,10.958,11,7672068,11
"2022-02-24",10.724,10.892,10.642,10.716,19543440,10.716
"2022-02-25",10.666,10.958,10.608,10.892,11888630,10.892
