"","RNO.PA.Open","RNO.PA.High","RNO.PA.Low","RNO.PA.Close","RNO.PA.Volume","RNO.PA.Adjusted"
"2021-09-30",31.59,31.68,30.66,30.895,1016928,30.895
"2021-10-01",30.450001,31.209999,30.08,30.945,1321966,30.945
"2021-10-04",30.73,31.155001,30.219999,30.805,869688,30.805
"2021-10-05",30.780001,31.280001,30.620001,31.225,834306,31.225
"2021-10-06",30.629999,30.684999,29.73,30.014999,1671320,30.014999
"2021-10-07",30.495001,31.219999,30.245001,30.73,1556456,30.73
"2021-10-08",30.790001,31.605,30.610001,31.445,1466673,31.445
"2021-10-11",31.34,32.685001,31.245001,32.509998,1664927,32.509998
"2021-10-12",32.700001,32.869999,32.200001,32.775002,1395808,32.775002
"2021-10-13",32.880001,33.035,32.09,32.174999,1202187,32.174999
"2021-10-14",32.5,32.619999,32.075001,32.095001,805578,32.095001
"2021-10-15",32.349998,33.485001,32.349998,33.215,1530809,33.215
"2021-10-18",33,33.355,32.240002,32.595001,1016294,32.595001
"2021-10-19",32.605,33.035,32.25,32.25,958843,32.25
"2021-10-20",32.23,32.325001,30.059999,31.355,2338297,31.355
"2021-10-21",30.955,31.594999,30.540001,30.955,1403965,30.955
"2021-10-22",31,31.705,30.370001,31.15,1751948,31.15
"2021-10-25",31.1,31.4,30.665001,30.975,909106,30.975
"2021-10-26",30.995001,31.77,30.535,31.51,963983,31.51
"2021-10-27",31.415001,31.6,30.885,31.355,708024,31.355
"2021-10-28",31.120001,31.254999,30.700001,30.92,814559,30.92
"2021-10-29",30.754999,31.215,30.625,31.059999,1015735,31.059999
"2021-11-01",31.15,32.23,31.135,31.73,944790,31.73
"2021-11-02",31.639999,31.985001,31.219999,31.375,748341,31.375
"2021-11-03",31.299999,31.75,30.945,31.495001,834373,31.495001
"2021-11-04",31.74,32.494999,31.610001,31.965,1262038,31.965
"2021-11-05",31.809999,32.755001,31.5,32.540001,1064162,32.540001
"2021-11-08",32.435001,32.525002,32.064999,32.424999,1186306,32.424999
"2021-11-09",32.650002,34.075001,32.650002,33.654999,2226024,33.654999
"2021-11-10",33.575001,34.610001,33.544998,34.299999,1623223,34.299999
"2021-11-11",33.599998,33.645,32.924999,32.924999,2086127,32.924999
"2021-11-12",33.490002,34.634998,33.490002,34.369999,2601212,34.369999
"2021-11-15",33.945,35,33.849998,34.285,1313963,34.285
"2021-11-16",34.314999,35.16,34.310001,34.810001,1315649,34.810001
"2021-11-17",34.619999,35.049999,34.490002,34.674999,991793,34.674999
"2021-11-18",34.610001,35.09,34.025002,34.279999,1259449,34.279999
"2021-11-19",34.400002,34.445,32.290001,32.93,2779770,32.93
"2021-11-22",32.880001,33.32,32.625,33.195,1011201,33.195
"2021-11-23",32.919998,33.224998,32.349998,32.610001,1123403,32.610001
"2021-11-24",32.790001,33.255001,31.91,32.105,1519096,32.105
"2021-11-25",32.220001,32.290001,31.790001,32.115002,661645,32.115002
"2021-11-26",30.5,30.815001,29.5,29.610001,2810856,29.610001
"2021-11-29",30,30.09,29.014999,29.145,1720946,29.145
"2021-11-30",28.575001,28.985001,27.98,28.459999,1927093,28.459999
"2021-12-01",28.834999,29.540001,28.719999,29.33,1565765,29.33
"2021-12-02",28.51,29.26,28.325001,29.035,1450531,29.035
"2021-12-03",29.459999,29.559999,28.514999,28.715,1248719,28.715
"2021-12-06",28.855,29.605,28.4,29.434999,1274347,29.434999
"2021-12-07",29.969999,30.360001,29.700001,29.905001,1458566,29.905001
"2021-12-08",29.9,30.385,29.24,30.105,1553119,30.105
"2021-12-09",30.299999,30.629999,29.799999,29.924999,1185024,29.924999
"2021-12-10",29.9,30.32,29.559999,29.790001,1036547,29.790001
"2021-12-13",29.955,30.205,29.385,29.385,999274,29.385
"2021-12-14",29.379999,29.415001,28.82,29.02,1032746,29.02
"2021-12-15",29.15,29.59,28.844999,28.865,1047356,28.865
"2021-12-16",29.459999,29.93,29.4,29.504999,1440110,29.504999
"2021-12-17",29.105,29.370001,28.809999,29.120001,1712986,29.120001
"2021-12-20",28.5,28.549999,27.860001,28.17,1230630,28.17
"2021-12-21",28.5,29.174999,28.299999,29.115,1112418,29.115
"2021-12-22",29.110001,29.254999,28.775,29.174999,793802,29.174999
"2021-12-23",29.35,29.945,29.334999,29.795,743579,29.795
"2021-12-24",29.75,30.094999,29.67,29.77,266910,29.77
"2021-12-27",29.594999,30.195,29.559999,30.174999,500710,30.174999
"2021-12-28",30.15,30.4,29.969999,30.049999,447797,30.049999
"2021-12-29",30,30.23,29.66,29.83,522033,29.83
"2021-12-30",29.709999,30.155001,29.684999,30.1,376388,30.1
"2021-12-31",30,30.545,29.969999,30.545,388903,30.545
"2022-01-03",30.275,31.594999,30.08,31.415001,1200127,31.415001
"2022-01-04",31.719999,32.52,31.495001,32.285,1619159,32.285
"2022-01-05",32.615002,34,32.599998,34,2314152,34
"2022-01-06",33.299999,34.775002,33.16,34.130001,1668652,34.130001
"2022-01-07",34.325001,34.555,33.775002,34.235001,1115732,34.235001
"2022-01-10",34.310001,34.59,33.75,34.025002,1564185,34.025002
"2022-01-11",34.189999,34.299999,33.509998,33.595001,1631149,33.595001
"2022-01-12",33.84,33.91,32.029999,32.400002,2338667,32.400002
"2022-01-13",32.445,34.314999,31.855,33.884998,2097820,33.884998
"2022-01-14",33.599998,34.584999,33.310001,33.544998,1783417,33.544998
"2022-01-17",34.105,34.490002,33.634998,34.040001,933772,34.040001
"2022-01-18",33.744999,34.209999,33.290001,33.77,1061882,33.77
"2022-01-19",33.549999,34.549999,33.549999,33.939999,1814540,33.939999
"2022-01-20",34.025002,34.244999,33.200001,33.855,1213297,33.855
"2022-01-21",33.200001,33.404999,32.634998,33.314999,1393949,33.314999
"2022-01-24",34,34.794998,32.075001,32.380001,3089428,32.380001
"2022-01-25",32.98,33.955002,32.630001,33.400002,1926553,33.400002
"2022-01-26",33.895,35.875,33.720001,35.380001,3159756,35.380001
"2022-01-27",35,36.860001,34.700001,35.43,2501408,35.43
"2022-01-28",35.345001,35.345001,33.855,34.57,2010273,34.57
"2022-01-31",35.25,35.299999,34.305,34.915001,1360427,34.915001
"2022-02-01",35.200001,35.380001,34.419998,35.110001,1337764,35.110001
"2022-02-02",35.099998,35.419998,34.849998,34.849998,1039703,34.849998
"2022-02-03",34.939999,35.715,34.919998,35.715,1503293,35.715
"2022-02-04",35.919998,36.119999,33.59,34.294998,2272942,34.294998
"2022-02-07",34.599998,34.970001,34.389999,34.720001,1039080,34.720001
"2022-02-08",34.869999,35.689999,34.549999,35.154999,1290144,35.154999
"2022-02-09",35.599998,36.639999,35.540001,36.095001,1761531,36.095001
"2022-02-10",36.169998,36.66,35.724998,36.5,997491,36.5
"2022-02-11",35.830002,36.555,35.529999,35.939999,1001335,35.939999
"2022-02-14",34.330002,34.775002,33.700001,34.384998,2303748,34.384998
"2022-02-15",34.25,36.355,34.029999,36.259998,1854928,36.259998
"2022-02-16",36.400002,37.290001,36.285,37.174999,1926812,37.174999
"2022-02-17",37.044998,37.290001,35.955002,36.34,1520367,36.34
"2022-02-18",37.18,38.07,36.055,36.325001,2209907,36.325001
"2022-02-21",37.294998,37.825001,34.794998,34.880001,2258151,34.880001
"2022-02-22",33.634998,34.200001,32.834999,33.57,2309030,33.57
"2022-02-23",33.799999,34.380001,32.009998,32.134998,2520978,32.134998
"2022-02-24",28.805,30.290001,28,29.219999,5100408,29.219999
"2022-02-25",30,30.584999,28.745001,30.545,2784129,30.545
