"","MC.PA.Open","MC.PA.High","MC.PA.Low","MC.PA.Close","MC.PA.Volume","MC.PA.Adjusted"
"2022-02-11",695,703.400024,684.200012,685,453796,685
"2022-02-14",672.799988,674.5,653,670,610403,670
"2022-02-15",667.5,694,666.599976,694,406987,694
"2022-02-16",700,701.599976,680.299988,687.599976,304420,687.599976
"2022-02-17",694.900024,697.900024,675.299988,684.099976,366552,684.099976
"2022-02-18",679.099976,694.599976,676.099976,686.299988,417884,686.299988
"2022-02-21",693.599976,696.5,666.599976,672.200012,383373,672.200012
"2022-02-22",650.400024,677.799988,648.599976,669.200012,460189,669.200012
"2022-02-23",676.200012,684.799988,665.799988,665.799988,363622,665.799988
"2022-02-24",631,649.5,625,635.900024,1162792,635.900024
"2022-02-25",638.599976,666.599976,636.299988,666.599976,712092,666.599976
