"","UBI.PA.Open","UBI.PA.High","UBI.PA.Low","UBI.PA.Close","UBI.PA.Volume","UBI.PA.Adjusted"
"2021-11-24",44.360001,44.360001,43.299999,44.189999,431047,44.189999
"2021-11-25",44.299999,44.700001,43.860001,44.5,190385,44.5
"2021-11-26",43.66,46.029999,43.599998,44.950001,544422,44.950001
"2021-11-29",45.009998,45.119999,44.040001,44.889999,443510,44.889999
"2021-11-30",44.799999,46.439999,44.77,45.310001,895463,45.310001
"2021-12-01",45.41,45.619999,42.529999,42.529999,899806,42.529999
"2021-12-02",42.34,42.400002,41.380001,42.060001,1012990,42.060001
"2021-12-03",42.169998,42.200001,40.740002,41.23,550892,41.23
"2021-12-06",41.23,41.330002,39.650002,40.75,559927,40.75
"2021-12-07",40.990002,42.259998,40.959999,42.23,454249,42.23
"2021-12-08",44.080002,44.709999,42.650002,43.5,895338,43.5
"2021-12-09",43.59,44.119999,43.080002,43.610001,541582,43.610001
"2021-12-10",43.450001,43.900002,42.279999,42.279999,707394,42.279999
"2021-12-13",42.400002,42.98,42.02,42.02,605389,42.02
"2021-12-14",42,42,40.860001,41.110001,636804,41.110001
"2021-12-15",41.150002,42.049999,40.91,41,534136,41
"2021-12-16",41.700001,41.779999,40.099998,40.380001,1143507,40.380001
"2021-12-17",40.400002,42.23,40.259998,42.23,1190409,42.23
"2021-12-20",42.110001,42.52,41.32,42.23,528694,42.23
"2021-12-21",42.32,43.77,41.970001,43.299999,604569,43.299999
"2021-12-22",43.450001,44.290001,43.110001,43.41,419137,43.41
"2021-12-23",43.16,43.200001,42.540001,42.650002,395212,42.650002
"2021-12-24",42.689999,43.57,42.66,43.34,93699,43.34
"2021-12-27",43.299999,43.52,42.779999,42.959999,254666,42.959999
"2021-12-28",42.700001,42.970001,42.34,42.73,215144,42.73
"2021-12-29",42.720001,42.91,41.98,42.200001,251074,42.200001
"2021-12-30",42.07,43.029999,41.82,42.919998,376532,42.919998
"2021-12-31",42.950001,43.349998,42.919998,43.07,136599,43.07
"2022-01-03",43.060001,43.220001,42.540001,42.880001,240097,42.880001
